Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.085414e-02,3.773416e+02,1.390551e-03,7.658051e-01,5.340699e-27,1.847358e-11,2.257038e-01,2.277147e-17,1.582993e-08,1.323962e-10,9.505233e-12,2.343570e-08,1.976959e-36,2.965707e-08,6.414885e-36,2.825940e-26,1.000000e-60,1.000000e-60,3.225205e-26,1.000000e-60,4.656263e-03,1.000000e-60,4.899397e-33,6.382765e-28,2.979789e-36,1.924364e-28,4.465961e-38,1.000000e-60,6.337579e-31,1.000000e-60,1.000000e-60,1.000000e-60,3.812206e-03,1.313288e-34,8.204911e-29,8.324351e-26,2.173479e-05,1.141906e-08,7.984016e-07,6.319931e-22,2.026939e-14,4.680915e-17,1.146993e-24,1.259536e-33,6.869531e-23,7.026341e-19,1.261481e-17,4.919869e-16,5.950535e-27,3.097922e-36,2.076784e-21,4.801929e-16,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
2.157782e-02,4.582640e+02,4.531623e-03,7.645081e-01,1.061720e-26,9.760204e-11,2.186118e-01,2.967960e-16,4.316586e-08,2.635293e-10,3.480749e-11,4.284240e-08,1.123807e-34,5.922628e-08,1.000000e-60,6.913383e-25,1.000000e-60,1.000000e-60,1.231036e-25,1.000000e-60,9.256556e-03,2.464479e-35,5.363633e-32,2.237940e-27,8.264927e-36,3.914329e-28,3.592534e-37,1.000000e-60,1.333421e-30,1.000000e-60,1.000000e-60,1.000000e-60,7.578584e-03,4.250731e-34,1.631120e-28,4.263395e-25,4.321471e-05,2.270087e-08,1.577428e-06,2.809039e-21,4.024228e-14,9.016419e-17,7.641446e-23,1.976880e-31,6.872755e-22,1.396823e-18,2.507798e-17,9.782142e-16,1.025451e-26,1.000000e-60,4.128604e-21,9.667298e-16,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
3.202828e-02,5.355935e+02,8.772211e-03,7.632442e-01,1.575927e-26,3.488788e-10,2.117004e-01,1.947188e-15,8.487760e-08,3.926150e-10,9.747184e-11,5.896940e-08,1.000000e-60,8.849770e-08,3.266497e-32,6.353726e-24,1.000000e-60,6.156499e-30,3.113148e-25,1.000000e-60,1.373964e-02,6.661906e-33,1.900576e-31,4.228087e-27,2.003207e-35,6.040721e-28,1.000000e-60,1.000000e-60,2.076359e-30,1.000000e-60,1.000000e-60,1.000000e-60,1.124900e-02,1.000000e-60,2.421096e-28,1.214073e-24,6.415658e-05,3.369524e-08,2.322487e-06,7.051178e-21,5.521530e-14,1.214466e-16,1.476372e-21,5.518633e-30,3.514368e-21,2.073326e-18,3.722363e-17,1.452683e-15,8.774684e-27,1.000000e-60,6.128150e-21,1.466625e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
4.213198e-02,6.087893e+02,1.373232e-02,7.620222e-01,2.073072e-26,1.014133e-09,2.050184e-01,9.452207e-15,1.452921e-07,5.208397e-10,2.469214e-10,7.261394e-08,5.311880e-34,1.174769e-07,2.134085e-32,3.861867e-23,5.120005e-33,3.870152e-28,6.901893e-25,1.000000e-60,1.807398e-02,5.052639e-32,4.622558e-31,7.009841e-27,1.865278e-33,8.109850e-28,1.718684e-35,1.000000e-60,2.890499e-30,1.000000e-60,1.000000e-60,1.000000e-60,1.479761e-02,5.683566e-35,3.184858e-28,7.670895e-24,8.441598e-05,4.432480e-08,3.023801e-06,1.369764e-20,7.993041e-14,1.339356e-16,1.527725e-20,6.189010e-29,1.254112e-20,2.727394e-18,4.896627e-17,1.913112e-15,4.044299e-27,1.293347e-34,8.061349e-21,1.987583e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
5.190080e-02,6.780155e+02,1.920417e-02,7.608407e-01,2.553739e-26,2.551241e-09,1.985578e-01,3.846804e-14,2.321271e-07,6.521044e-10,5.802904e-10,8.430003e-08,1.124618e-35,1.464507e-07,1.000000e-60,1.863036e-22,5.683932e-33,3.867925e-28,1.484706e-24,1.000000e-60,2.226465e-02,7.086860e-32,5.306461e-31,6.573129e-27,2.127874e-34,9.973173e-28,5.130677e-35,2.255825e-41,3.801898e-30,1.000000e-60,1.000000e-60,1.000000e-60,1.822859e-02,6.397736e-34,3.923287e-28,1.078177e-22,1.040204e-04,5.460200e-08,3.676557e-06,2.481494e-20,1.366587e-13,1.303160e-16,1.084531e-19,4.038540e-28,3.594692e-20,3.359833e-18,6.031970e-17,2.361939e-15,2.243242e-27,9.227486e-37,9.930472e-21,2.530280e-15,1.356687e-39,1.000000e-60,1.000000e-60,1.000000e-60
6.137372e-02,7.436659e+02,2.501149e-02,7.596950e-01,3.019847e-26,5.647302e-09,1.922930e-01,1.361592e-13,3.586413e-07,7.931907e-10,1.273126e-09,9.407414e-08,1.000000e-60,1.758619e-07,1.000000e-60,7.588082e-22,3.897615e-33,1.950070e-28,3.251256e-24,1.000000e-60,2.632838e-02,8.010399e-34,3.653291e-31,4.269466e-27,1.915411e-32,1.220372e-27,1.076247e-34,1.000000e-60,4.832582e-30,1.000000e-60,1.000000e-60,1.000000e-60,2.155563e-02,1.067915e-33,4.639277e-28,1.138459e-21,1.230532e-04,6.456768e-08,4.275508e-06,4.911865e-20,2.596281e-13,1.209355e-16,5.872329e-19,1.872511e-27,8.935774e-20,3.973298e-18,7.132926e-17,2.804065e-15,1.729686e-27,3.012780e-35,1.174299e-20,3.087560e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
7.059427e-02,8.061787e+02,3.111770e-02,7.585798e-01,3.473538e-26,1.103763e-08,1.861950e-01,4.202821e-13,5.464920e-07,9.551477e-10,2.614073e-09,1.013060e-07,1.321504e-35,2.063052e-07,1.881091e-33,2.651427e-21,1.000000e-60,1.000000e-60,7.359452e-24,4.873784e-32,3.028385e-02,1.000000e-60,1.249313e-31,1.532567e-27,1.713248e-32,1.301053e-27,1.812655e-34,3.696676e-40,5.924276e-30,1.000000e-60,1.000000e-60,1.000000e-60,2.479400e-02,1.000000e-60,5.335909e-28,8.740710e-21,1.416092e-04,7.426686e-08,4.812110e-06,1.115082e-19,5.084896e-13,1.148619e-16,2.534307e-18,6.932108e-27,2.012218e-19,4.570936e-18,8.204559e-17,3.246446e-15,1.585594e-27,1.000000e-60,1.350723e-20,3.654114e-15,2.613037e-38,1.000000e-60,1.000000e-60,1.000000e-60
7.961622e-02,8.660601e+02,3.736265e-02,7.574886e-01,3.917456e-26,1.926320e-08,1.802283e-01,1.131385e-12,8.285340e-07,1.156427e-09,5.017068e-09,1.044380e-07,5.640097e-35,2.386361e-07,3.784172e-32,8.019740e-21,9.381255e-35,1.408247e-30,1.723343e-23,2.247319e-31,3.415412e-02,9.584012e-32,2.351791e-32,3.297006e-28,1.000000e-60,1.262404e-27,8.126868e-34,1.852794e-39,6.951481e-30,1.000000e-60,1.000000e-60,1.000000e-60,2.796256e-02,1.107411e-32,6.017022e-28,5.243012e-20,1.598069e-04,8.375375e-08,5.273747e-06,2.724673e-19,9.793898e-13,1.156415e-16,8.950001e-18,2.198710e-26,4.201282e-19,5.156965e-18,9.253137e-17,3.699342e-15,1.574594e-27,1.000000e-60,1.523353e-20,4.233062e-15,1.464868e-37,1.000000e-60,1.000000e-60,1.000000e-60
8.850087e-02,9.238541e+02,4.379516e-02,7.564141e-01,4.354619e-26,3.076497e-08,1.743524e-01,2.685325e-12,1.251302e-06,1.428477e-09,8.988660e-09,1.010007e-07,1.000000e-60,2.741307e-07,3.440827e-32,2.139626e-20,1.000000e-60,1.000000e-60,4.178756e-23,2.708942e-31,3.796548e-02,1.168121e-31,1.000000e-60,1.000000e-60,4.300028e-35,1.343219e-27,1.673331e-33,2.056668e-38,8.173940e-30,1.000000e-60,1.000000e-60,1.000000e-60,3.108284e-02,1.801027e-32,6.685743e-28,2.567849e-19,1.777837e-04,9.308724e-08,5.642369e-06,6.700336e-19,1.814669e-12,1.234954e-16,2.660738e-17,6.234037e-26,8.222057e-19,5.736847e-18,1.028584e-16,4.177867e-15,1.615571e-27,4.186197e-36,1.693368e-20,4.835480e-15,1.229986e-36,1.000000e-60,1.000000e-60,1.000000e-60
9.730553e-02,9.800622e+02,5.040551e-02,7.553492e-01,4.787845e-26,4.626722e-08,1.685294e-01,5.723852e-12,1.876233e-06,1.824046e-09,1.502816e-08,8.895030e-08,2.733858e-35,3.146819e-07,1.000000e-60,5.172494e-20,1.000000e-60,1.000000e-60,1.043830e-22,7.181865e-31,4.174252e-02,3.593397e-32,1.000000e-60,1.000000e-60,3.512436e-32,1.581925e-27,1.661731e-33,1.170773e-38,9.583288e-30,1.000000e-60,1.000000e-60,1.000000e-60,3.417491e-02,3.129304e-35,7.343138e-28,1.066309e-18,1.956727e-04,1.023160e-07,5.894224e-06,1.610486e-18,3.204194e-12,1.380529e-16,6.862457e-17,1.619796e-25,1.515151e-18,6.317136e-18,1.130947e-16,4.703601e-15,1.677489e-27,2.216989e-36,1.861879e-20,5.478945e-15,6.113227e-37,1.000000e-60,1.000000e-60,1.000000e-60
1.060725e-01,1.035077e+03,5.715744e-02,7.542889e-01,5.219215e-26,6.705799e-08,1.627312e-01,1.118480e-11,2.781131e-06,2.428870e-09,2.346189e-08,6.979271e-08,1.000000e-60,3.631010e-07,6.242036e-32,1.167673e-19,2.333921e-32,2.287020e-28,2.662048e-22,5.689940e-29,4.550336e-02,1.015700e-31,4.629202e-32,3.100121e-28,7.422718e-33,1.584939e-27,5.803662e-33,1.575541e-37,1.087584e-29,1.000000e-60,1.000000e-60,1.000000e-60,3.725358e-02,1.194436e-33,7.988997e-28,3.885813e-18,2.135780e-04,1.114630e-07,6.002470e-06,3.763584e-18,5.368021e-12,1.595221e-16,1.580021e-16,3.916326e-25,2.639520e-18,6.905750e-18,1.232924e-16,5.306629e-15,1.752481e-27,1.475246e-34,2.029721e-20,6.188773e-15,3.791452e-36,1.000000e-60,1.000000e-60,1.000000e-60
1.148252e-01,1.089131e+03,6.400364e-02,7.532303e-01,5.649888e-26,9.516892e-08,1.569423e-01,2.047518e-11,4.065133e-06,3.377793e-09,3.429197e-08,4.991279e-08,1.756345e-33,4.235888e-07,6.422282e-33,2.538144e-19,2.304754e-34,1.367706e-29,6.878762e-22,3.511360e-29,4.925810e-02,7.923570e-33,2.309930e-32,7.898250e-29,5.478158e-32,1.582577e-27,4.565319e-33,1.236079e-37,1.182632e-29,1.000000e-60,1.000000e-60,1.000000e-60,4.032707e-02,2.105846e-36,8.616081e-28,1.277830e-17,2.315629e-04,1.205163e-07,5.943999e-06,8.583236e-18,8.523845e-12,1.891866e-16,3.336722e-16,8.912118e-25,4.377897e-18,7.513324e-18,1.334844e-16,6.028189e-15,1.850002e-27,1.000000e-60,2.197392e-20,7.002218e-15,1.833134e-36,1.000000e-60,1.000000e-60,1.000000e-60
1.235768e-01,1.142350e+03,7.098152e-02,7.521718e-01,6.080501e-26,1.338883e-07,1.511540e-01,3.596809e-11,5.863285e-06,4.880830e-09,4.718168e-08,3.526158e-08,9.383357e-33,5.025280e-07,2.766309e-31,5.468493e-19,1.270063e-34,1.324750e-30,1.794920e-21,1.553291e-29,5.301229e-02,9.555893e-31,1.512697e-32,3.687241e-30,1.481430e-33,1.203892e-27,1.442365e-32,1.743156e-37,1.187188e-29,1.000000e-60,1.000000e-60,1.000000e-60,4.339985e-02,2.406953e-32,9.208565e-28,3.882130e-17,2.496608e-04,1.294311e-07,5.708564e-06,1.924252e-17,1.286461e-11,2.300675e-16,6.646037e-16,1.931210e-24,6.994468e-18,8.156267e-18,1.436962e-16,6.924902e-15,1.998226e-27,3.251731e-34,2.365212e-20,7.976846e-15,1.501414e-36,1.000000e-60,1.000000e-60,1.000000e-60
1.323463e-01,1.194880e+03,7.809792e-02,7.511112e-01,6.511998e-26,1.886444e-07,1.453535e-01,6.205995e-11,8.369799e-06,7.273015e-09,6.149164e-08,2.641141e-08,2.135469e-35,6.098998e-07,3.227981e-31,1.192828e-18,1.802447e-32,8.336576e-29,4.726363e-21,8.493005e-29,5.677415e-02,8.658032e-31,1.000924e-31,1.026120e-28,1.000000e-60,9.013224e-28,2.454334e-32,1.651860e-37,1.160146e-29,1.000000e-60,1.000000e-60,1.000000e-60,4.647856e-02,8.469831e-35,9.753485e-28,1.113484e-16,2.679048e-04,1.381406e-07,5.305656e-06,4.274759e-17,1.853863e-11,2.879984e-16,1.281839e-15,4.038740e-24,1.092327e-17,8.861990e-18,1.539688e-16,8.076896e-15,2.242008e-27,4.612871e-37,2.533668e-20,9.206773e-15,9.125571e-37,9.079421e-41,1.000000e-60,1.000000e-60
1.411725e-01,1.246974e+03,8.537245e-02,7.500437e-01,6.946288e-26,2.682401e-07,1.395151e-01,1.071310e-10,1.186877e-05,1.111339e-08,7.643150e-08,2.130335e-08,1.000000e-60,7.619521e-07,1.018773e-30,2.663352e-18,8.682732e-33,3.451812e-29,1.256835e-20,8.550823e-29,6.056029e-02,8.138945e-30,1.000000e-60,5.654796e-29,1.235059e-32,7.947790e-28,1.065371e-31,2.198019e-36,1.187691e-29,1.527451e-37,1.000000e-60,1.000000e-60,4.957667e-02,1.593872e-32,1.023590e-27,3.075306e-16,2.863537e-04,1.465612e-07,4.766964e-06,9.489483e-17,2.566198e-11,3.738291e-16,2.444873e-15,8.275364e-24,1.692861e-17,9.677225e-18,1.643811e-16,9.604074e-15,2.646533e-27,1.000000e-60,2.703698e-20,1.085453e-14,6.185623e-36,1.816329e-39,1.000000e-60,1.000000e-60
1.501155e-01,1.298989e+03,9.265603e-02,7.489620e-01,7.386318e-26,3.869497e-07,1.335990e-01,1.874425e-10,1.677979e-05,1.737345e-08,9.160111e-08,1.836337e-08,2.072188e-33,9.862078e-07,2.603205e-30,6.128217e-18,3.486497e-33,1.207445e-29,3.386201e-20,9.438695e-29,6.439635e-02,3.173408e-29,3.619215e-30,1.766397e-29,2.451777e-34,7.088461e-28,4.858626e-33,6.556931e-38,1.235660e-29,4.670157e-37,3.375272e-41,5.318406e-39,5.271497e-02,1.193866e-32,1.061933e-27,8.322574e-16,3.050958e-04,1.545887e-07,4.145509e-06,2.126899e-16,3.448719e-11,5.085440e-16,4.681751e-15,1.689791e-23,2.641181e-17,1.068205e-17,1.750677e-16,1.169658e-14,3.320046e-27,3.629294e-37,2.876795e-20,1.321416e-14,1.286866e-37,1.614301e-40,2.319214e-56,3.507877e-55
1.592477e-01,1.351332e+03,1.001792e-01,7.478575e-01,7.835662e-26,5.683975e-07,1.275567e-01,3.355522e-10,2.372905e-05,2.780192e-08,1.078136e-07,1.678876e-08,3.234496e-33,1.331220e-06,6.510605e-30,1.467800e-17,4.115993e-32,1.281912e-28,9.323403e-20,4.034897e-28,6.831343e-02,1.438082e-28,6.333275e-31,1.728469e-28,1.264756e-31,9.678578e-28,1.665960e-31,2.535010e-38,1.479817e-29,4.577402e-37,1.368158e-40,1.641344e-38,5.591864e-02,5.554463e-34,1.084151e-27,2.240731e-15,3.242355e-04,1.620913e-07,3.509457e-06,4.873074e-16,4.580035e-11,7.355301e-16,9.101903e-15,3.507012e-23,4.205664e-17,1.201667e-17,1.862451e-16,1.467337e-14,4.472150e-27,2.967836e-36,3.054985e-20,1.684391e-14,4.384332e-38,9.471654e-41,1.347118e-56,1.572901e-54
1.686215e-01,1.404271e+03,1.079669e-01,7.467238e-01,8.296892e-26,8.513275e-07,1.213534e-01,6.178309e-10,3.362114e-05,4.556696e-08,1.275803e-07,1.619667e-08,4.799131e-33,1.883645e-06,1.911275e-29,3.704231e-17,2.564691e-31,5.031611e-28,2.650502e-19,1.021524e-27,7.233382e-02,6.615156e-28,1.688384e-29,6.415383e-28,1.000000e-60,2.803262e-28,2.806592e-31,1.630841e-36,1.010571e-29,8.634527e-36,2.705855e-40,2.788783e-38,5.920552e-02,1.897802e-33,1.063280e-27,6.062510e-15,3.438346e-04,1.689153e-07,2.928504e-06,1.151290e-15,6.138073e-11,1.149103e-15,1.808050e-14,7.556109e-23,6.916413e-17,1.392911e-17,1.982494e-16,1.908093e-14,6.542837e-27,1.549343e-34,3.240479e-20,2.283031e-14,5.842807e-38,9.800372e-41,1.000000e-60,1.000000e-60
1.782217e-01,1.457681e+03,1.157976e-01,7.455627e-01,8.769265e-26,1.297236e-06,1.149984e-01,1.169383e-09,4.767484e-05,7.629897e-08,1.546423e-07,1.643295e-08,3.742176e-32,2.796242e-06,4.808548e-29,9.901981e-17,6.928565e-31,1.052054e-27,7.806984e-19,1.981297e-27,7.645079e-02,3.238652e-27,5.706509e-29,1.498414e-27,3.072270e-33,1.235835e-28,1.332365e-30,9.994596e-37,1.259350e-29,1.168182e-35,9.283005e-40,7.429698e-38,6.256962e-02,2.105033e-31,1.025624e-27,1.650515e-14,3.638299e-04,1.749518e-07,2.451857e-06,2.799478e-15,8.418302e-11,1.960769e-15,3.669432e-14,1.723573e-22,1.184226e-16,1.686118e-17,2.116405e-16,2.585729e-14,1.051620e-26,1.072725e-33,3.435281e-20,3.329338e-14,2.493980e-38,7.627770e-41,5.270942e-55,5.753395e-54
1.879755e-01,1.511122e+03,1.237599e-01,7.443830e-01,9.249191e-26,2.000976e-06,1.085395e-01,2.262771e-09,6.744800e-05,1.297897e-07,1.926476e-07,1.747231e-08,3.323796e-31,4.335640e-06,1.311501e-28,2.784065e-16,2.320288e-30,2.610777e-27,2.364932e-18,4.118773e-27,8.063263e-02,1.640453e-26,2.447154e-28,4.584542e-27,1.400598e-31,5.791984e-28,3.143757e-30,5.854570e-36,2.719765e-29,2.941413e-35,1.000000e-60,1.000000e-60,6.598440e-02,1.697710e-30,9.820465e-28,4.496356e-14,3.840656e-04,1.803120e-07,2.089181e-06,6.926501e-15,1.180829e-10,3.652872e-15,7.567367e-14,4.230336e-22,2.119575e-16,2.162857e-17,2.275415e-16,3.664331e-14,1.874939e-26,8.037999e-33,3.642361e-20,5.234789e-14,1.355469e-37,2.643879e-40,1.000000e-60,1.000000e-60
1.978019e-01,1.564131e+03,1.317782e-01,7.431946e-01,9.732694e-26,3.104227e-06,1.020294e-01,4.438643e-09,9.486314e-05,2.226922e-07,2.440740e-07,1.934647e-08,2.708858e-30,6.962847e-06,3.488791e-28,8.097357e-16,6.862084e-30,5.929976e-27,7.258247e-18,8.242447e-27,8.484394e-02,8.417793e-26,1.128067e-27,1.613619e-26,1.757713e-32,1.778867e-28,1.048485e-29,2.266575e-36,4.466769e-29,1.293797e-35,2.290098e-40,1.300551e-38,6.942029e-02,1.909880e-29,8.228303e-28,1.215474e-13,4.043911e-04,1.854870e-07,1.816799e-06,1.719106e-14,1.675333e-10,7.322684e-15,1.572629e-13,1.128690e-21,3.967325e-16,2.982613e-17,2.483670e-16,5.437942e-14,3.731065e-26,5.511535e-32,3.868545e-20,8.785258e-14,1.385590e-36,3.621370e-39,1.000000e-60,1.000000e-60
