Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.032863e-02,3.696479e+02,1.364096e+00,7.658767e-01,1.000000e-60,1.193977e-06,2.262743e-01,5.749363e-11,1.657951e-06,3.234265e-06,2.930157e-06,1.251210e-06,1.098293e-26,3.377249e-04,4.613921e-19,8.240994e-16,8.198175e-21,1.313827e-15,3.839301e-13,4.269739e-12,3.900213e-03,2.443583e-19,1.809515e-15,1.534055e-13,1.024187e-28,8.832104e-15,3.843246e-18,1.734303e-22,5.748471e-13,3.748185e-15,1.668816e-20,2.861725e-18,3.596409e-03,1.000512e-34,1.262232e-15,3.705782e-15,3.191232e-06,2.211516e-08,1.156111e-06,1.283367e-14,2.559053e-10,3.008019e-13,2.386364e-18,1.128669e-21,8.703150e-12,8.835034e-09,1.785841e-11,2.215059e-09,2.842260e-12,9.195043e-27,8.459469e-12,6.210202e-12,7.731733e-18,1.257077e-16,7.332349e-26,4.646531e-28
2.032140e-02,4.416678e+02,4.368455e+00,7.646759e-01,1.000000e-60,2.996565e-06,2.198799e-01,4.985782e-10,4.105702e-06,6.364023e-06,6.736390e-06,2.356019e-06,5.787433e-25,6.647538e-04,2.715974e-18,1.331219e-14,7.636829e-20,4.992436e-15,7.857459e-13,8.401694e-12,7.673151e-03,1.230885e-18,5.550988e-15,3.010974e-13,1.936642e-26,1.739653e-14,2.504275e-17,2.205869e-21,1.136800e-12,7.403233e-15,9.689714e-20,5.642265e-18,7.075206e-03,2.296294e-31,2.483520e-15,1.058697e-14,6.425392e-06,4.350973e-08,2.049607e-06,1.113105e-13,5.770202e-10,7.134414e-13,9.665704e-17,1.314024e-19,2.210108e-11,1.738284e-08,3.513615e-11,4.358146e-09,5.544474e-12,3.083754e-25,1.664391e-11,1.223303e-11,8.668170e-17,2.616968e-16,1.446368e-25,1.307080e-27
2.966611e-02,5.078548e+02,8.238638e+00,7.635530e-01,1.000000e-60,5.516801e-06,2.138985e-01,2.163862e-09,7.433218e-06,9.292878e-06,1.128040e-05,3.304443e-06,8.456899e-24,9.709833e-04,8.885748e-18,7.994127e-14,3.319639e-19,1.242815e-14,1.201492e-12,1.226888e-11,1.120076e-02,3.602170e-18,1.061125e-14,4.373306e-13,6.224241e-25,2.545430e-14,8.156394e-17,1.198463e-20,1.672449e-12,1.087031e-14,3.331229e-19,8.266513e-18,1.032759e-02,1.320214e-29,3.626005e-15,2.341686e-14,9.584354e-06,6.351523e-08,2.678741e-06,4.351932e-13,9.650752e-10,1.257941e-12,1.158672e-15,2.885035e-18,4.062318e-11,2.537651e-08,5.129359e-11,6.362430e-09,7.935553e-12,3.071741e-24,2.429793e-11,1.789245e-11,3.789969e-16,4.045919e-16,2.120530e-25,2.588706e-27
3.830063e-02,5.679247e+02,1.254884e+01,7.625154e-01,1.000000e-60,8.848597e-06,2.083699e-01,6.786941e-09,1.172083e-05,1.200352e-05,1.638893e-05,4.112069e-06,6.800903e-23,1.254454e-03,2.236007e-17,3.087305e-13,9.959493e-19,2.467589e-14,1.633297e-12,1.584889e-11,1.445946e-02,8.382241e-18,1.636278e-14,5.602845e-13,7.649694e-24,3.299091e-14,1.950373e-16,4.293918e-20,2.181796e-12,1.414531e-14,8.602957e-19,1.073012e-17,1.333187e-02,3.182756e-28,4.682673e-15,4.652253e-14,1.262148e-05,8.199875e-08,3.078631e-06,1.158561e-12,1.417866e-09,1.953337e-12,7.371527e-15,2.610463e-17,6.438850e-11,3.276320e-08,6.622409e-11,8.214798e-09,9.896521e-12,1.795338e-23,3.137152e-11,2.316284e-11,1.058220e-15,5.533469e-16,2.754825e-25,4.319269e-27
4.639557e-02,6.232337e+02,1.712001e+01,7.615426e-01,1.000000e-60,1.316866e-05,2.031850e-01,1.771169e-08,1.715720e-05,1.455231e-05,2.196540e-05,4.809656e-06,3.903393e-22,1.520831e-03,4.853242e-17,9.368764e-13,2.421292e-18,4.276821e-14,2.093646e-12,1.921693e-11,1.751355e-02,1.723489e-17,2.223963e-14,6.717817e-13,5.363460e-23,4.020478e-14,3.952874e-16,1.215275e-19,2.678227e-12,1.731319e-14,1.846702e-18,1.309546e-17,1.614736e-02,4.634554e-27,5.675424e-15,8.701797e-14,1.557318e-05,9.932557e-08,3.293372e-06,2.482887e-12,1.939403e-09,2.836982e-12,3.247959e-14,1.416193e-16,9.391956e-11,3.968935e-08,8.022465e-11,9.952145e-09,1.136130e-11,7.861545e-23,3.800635e-11,2.816057e-11,2.277824e-15,7.108727e-16,3.365523e-25,6.497006e-27
5.415525e-02,6.752986e+02,2.190414e+01,7.606101e-01,1.000000e-60,1.877307e-05,1.982127e-01,4.111186e-08,2.406648e-05,1.700737e-05,2.792825e-05,5.422136e-06,1.817222e-21,1.776927e-03,9.624555e-17,2.449774e-12,5.188391e-18,6.806749e-14,2.600489e-12,2.246447e-11,2.043998e-02,3.293891e-17,2.769690e-14,7.740942e-13,2.663261e-22,4.734801e-14,7.287753e-16,2.982631e-19,3.178646e-12,2.048210e-14,3.487161e-18,1.543765e-17,1.884497e-02,4.928626e-26,6.631177e-15,1.571459e-13,1.849632e-05,1.159328e-07,3.355427e-06,4.664125e-12,2.537035e-09,3.970530e-12,1.135409e-13,5.619557e-16,1.302507e-10,4.633059e-08,9.365322e-11,1.161874e-08,1.226774e-11,2.891114e-22,4.437378e-11,3.302762e-11,4.148748e-15,8.821720e-16,3.972813e-25,9.094588e-27
6.172937e-02,7.251935e+02,2.692605e+01,7.597000e-01,1.000000e-60,2.608420e-05,1.933572e-01,8.746719e-08,3.289735e-05,1.942129e-05,3.412527e-05,5.962619e-06,7.310459e-21,2.027829e-03,1.798798e-16,5.758028e-12,1.025930e-17,1.023765e-13,3.173768e-12,2.566402e-11,2.329495e-02,6.007490e-17,3.219919e-14,8.685626e-13,1.054587e-21,5.466511e-14,1.269189e-15,6.668581e-19,3.699308e-12,2.375641e-14,5.977989e-18,1.781783e-17,2.147654e-02,4.187328e-25,7.571850e-15,2.778241e-13,2.143348e-05,1.321402e-07,3.287188e-06,8.035754e-12,3.214302e-09,5.440285e-12,3.370576e-13,1.816305e-15,1.747695e-10,5.281638e-08,1.067792e-10,1.324739e-08,1.256491e-11,9.425875e-22,5.060434e-11,3.788079e-11,6.708580e-15,1.073078e-15,4.595244e-25,1.200594e-26
6.918908e-02,7.734268e+02,3.214703e+01,7.588036e-01,1.000000e-60,3.563005e-05,1.885727e-01,1.725378e-07,4.417907e-05,2.182381e-05,4.028198e-05,6.432980e-06,2.613223e-20,2.276101e-03,3.217497e-16,1.238198e-11,1.917341e-17,1.478242e-13,3.832202e-12,2.886051e-11,2.610499e-02,1.058372e-16,3.533535e-14,9.553776e-13,3.552175e-21,6.238577e-14,2.129241e-15,1.392030e-18,4.254653e-12,2.723123e-14,9.462164e-18,2.026830e-17,2.406642e-02,2.949618e-24,8.512559e-15,4.830479e-13,2.439833e-05,1.480987e-07,3.109347e-06,1.300293e-11,3.962903e-09,7.351072e-12,8.777629e-13,5.066937e-15,2.289348e-10,5.920988e-08,1.197478e-10,1.485439e-08,1.226381e-11,2.787177e-21,5.677092e-11,4.279776e-11,9.876628e-15,1.289478e-15,5.248410e-25,1.500002e-26
7.653245e-02,8.200203e+02,3.751134e+01,7.579211e-01,1.000000e-60,4.799115e-05,1.838602e-01,3.167869e-07,5.844595e-05,2.422315e-05,4.602091e-05,6.826869e-06,8.386037e-20,2.521946e-03,5.542042e-16,2.453021e-11,3.424668e-17,2.066211e-13,4.589753e-12,3.207431e-11,2.886892e-02,1.807329e-16,3.699115e-14,1.033932e-12,1.053584e-20,7.073886e-14,3.471735e-15,2.743425e-18,4.857246e-12,3.099527e-14,1.396594e-17,2.278089e-17,2.661352e-02,1.744695e-23,9.463604e-15,8.241176e-13,2.737338e-05,1.638017e-07,2.847623e-06,2.000361e-11,4.757906e-09,9.812121e-12,2.037409e-12,1.258098e-14,2.939743e-10,6.551294e-08,1.325973e-10,1.644074e-08,1.148257e-11,7.533172e-21,6.289628e-11,4.781851e-11,1.343449e-14,1.536838e-15,5.945586e-25,1.776442e-26
